id,name,gender,category,subcategory,subsubcategory,brand
21337,Brut Musk Deospray 200ml,Man,Gezond & verzorging,Lichaamsverzorging,Deodorant,Brut
31281,Dasty Ruiten & Glas Reinigingsspray 750 ml,Unisex,Huishouden,Wassen en schoonmaken,Schoonmaken,Dasty
30809,Dreft Clean & Soft Afwasmiddel 400 ml,Gezin,Huishouden,Wassen en schoonmaken,Afwasmiddel,Dreft
20846,L'Oréal Elnett Satin Normale Fixatie Haarspray 75 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,L Oreal
16761,Elvive Intens Glad Shampoo 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Shampoo,L Oreal
33539,Fa Douchegel Greek Yoghurt Amandel 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Fa
16052,Fa Douche Cream & Olie Cacaoboter En Kokos 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Fa
26282,Fa Men 2In1 Body & Hair Sport Double Power 250 ml,Man,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Fa
32540,Herbal Essences Hello Hydration Conditioner 200 ml,Vrouw,Gezond & verzorging,Haarverzorging,Conditioner,Herbal Essences
9285,Fa Douche Cream & Olie Magnolia Met Amandelolie 250 ml,Vrouw,Gezond & verzorging,Lichaamsverzorging,Bad en douche,Fa
8515,Junior Hairspray Strong 300 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Schwarzkopf
5274,Farouk Biosilk Lite Therapy Serum 67 ml,Vrouw,Gezond & verzorging,Haarverzorging,Kappersproducten,Farouk
20380,Listerine Mondwater Tand & Tandvlees bescherming 250 ml,Unisex,Gezond & verzorging,Mondverzorging,Mondwater & spray,Listerine
1822,Nicols Wc Verfrisser Lavendel 150gr,Unisex,Huishouden,Toilet en keuken,Luchtverfrissers,Nicols
3875,Nivea Men Shampoo Strong Power 250 ml,Man,Gezond & verzorging,Haarverzorging,Shampoo,Nivea
20634,Nivea Volume Sensation Styling Spray 250 ml,Vrouw,Gezond & verzorging,Haarverzorging,Haarstyling,Nivea
